Position-Anforderungsspezifikation,ReqID,Komponente,Schablone,Variante,Gruppe,Tag,Stakeholder,Gruppe (ALT),Tag (ALT),Anforderung,Trace auf ReqID,Anmerkung,Status,Aktuell / Zukunft / Ignore,Release,Req-Key (ALT)
3.1 Funktionale Anforderungen,164,EIFFEL,ESFA,Benutzeranforderung,Schablonenkonfiguration,Schablone Metainformationen,Schablonenverwalter,Schablonen konfigurieren,Metainformationen Varianten,"Das System EIFFEL muss dem Schablonenverwalter ermöglichen, die Metainformationen Name, Beschreibung, Format und Anwendungsbeispiel für eine Variante einer Anforderungsschablone festzulegen, damit Anwender bei der Verwendung der Variante hilfreiche Hinweise angezeigt bekommen können.",,,Umgesetzt,A,1,A-4-18
3.1 Funktionale Anforderungen,438,EIFFEL,ESFA,Benutzeranforderung,Schablonenkonfiguration,Schablonenvariante priorisieren,Schablonenverwalter,Schablonen konfigurieren,Darstellungsreihenfolge von Varianten in Auswahl,"Das System EIFFEL wird dem Schablonenverwalter ermöglichen, die Darstellungsreihenfolge der Schablonenvarianten bei der Anforderungserfassung mittels Prioritäten in der Schablonenkonfiguration anzupassen, weil die Reihenfolge der Varianten in der Auswahl nicht zufällig sein soll, wenn z.B. das Qualitätskriterium logisch auf das Qualitätsmerkmal folgt..",,,Fertig zur Umsetzung,Z,,A-4-23
3.1 Funktionale Anforderungen,219,EIFFEL,ESFA,Benutzeranforderung,Schablonensatzverwaltung,HARMONY administrieren,Anwender,Schablonensätze verwalten,Anwender zu Schablonenverwalter,"Das System EIFFEL muss dem Anwender ermöglichen, die Rolle des Schablonenverwalters einzunehmen, damit der Anwender Schablonensätze bearbeiten kann.",,,Umgesetzt,A,1,A-1-38
3.1 Funktionale Anforderungen,13,EIFFEL,ESFA,Benutzeranforderung,Schablonensatzverwaltung,Schablonensatz bearbeiten,Schablonenverwalter,Schablonensätze verwalten,Pflichtangaben bearbeiten,"Falls ein Schablonenverwalter einen Schablonensatz bearbeitet, muss das System EIFFEL dem Anwender ermöglichen, die Pflichtangaben eines Schablonensatzes zu verändern.",,,Umgesetzt,A,1,A-1-6
3.1 Funktionale Anforderungen,14,EIFFEL,ESFA,Benutzeranforderung,Schablonensatzverwaltung,Schablonensatz bearbeiten,Schablonenverwalter,Schablonensätze verwalten,Optionale Angaben bearbeiten,"Falls ein Schablonenverwalter einen Schablonensatz bearbeitet, muss das System EIFFEL dem Anwender ermöglichen, die optionalen Angaben eines Schablonensatzes zu verändern.",,,Umgesetzt,A,1,A-1-7
3.1 Funktionale Anforderungen,5,EIFFEL,ESFA,Benutzeranforderung,Schablonensatzverwaltung,Schablonensatz erstellen,Schablonenverwalter,Schablonensätze verwalten,Hinzufügen,"Das System EIFFEL muss dem Schablonenverwalter ermöglichen, einen neuen Schablonensatz mit Hilfe einer Eingabemaske anzulegen, damit Schablonen innerhalb des Schablonensatzes gruppiert werden können.","13, 14, 198",,Umgesetzt,A,1,A-1-1
3.1 Funktionale Anforderungen,251,EIFFEL,ESFA,Benutzeranforderung,Schablonenverwaltung,Schablone anzeigen,Schablonenverwalter,Schablonen verwalten,Schablonenvarianten anzeigen,"Das System EIFFEL sollte dem Schablonenverwalter ermöglichen, eine Schablonenvariante mit den Informationen Name, Beschreibung, Format, Beispiel und den Regeln der Variante anzuzeigen.",,,Umgesetzt,A,1,A-2-53
3.1 Funktionale Anforderungen,250,EIFFEL,ESFA,Benutzeranforderung,Schablonenverwaltung,Schablone konfigurieren,Schablonenverwalter,Schablonen verwalten,Schablonenkonfiguration anzeigen,"Das System EIFFEL sollte dem Schablonenverwalter ermöglichen, den Namen, Autorennamen, die Versionsnummer, Beschreibung und die Varianten einer Schablone anzuzeigen.",,,Umgesetzt,A,1,A-2-52
3.1 Funktionale Anforderungen,252,EIFFEL,ESFA,Benutzeranforderung,Schablonenverwaltung,Schablone konfigurieren,Schablonenverwalter,Schablonen verwalten,Regeln anzeigen,"Das System EIFFEL sollte dem Schablonenverwalter ermöglichen, eine Regel aus einer Schablone mit Namen, Kurzbeschreibung und Frage anzuzeigen.",,,Umgesetzt,A,1,A-2-54
3.1 Funktionale Anforderungen,488,HARMONY,ESFA,Selbständige Systemaktivität,Allgemeine Verhaltensweisen,Escaping Eingabedaten,Anwender,Allgemeine Verhaltensweisen,Escaping Eingabedaten,"Wenn ein Anwender eine Eingabe tätigt, muss das System HARMONY selbständig schadhafte Sequenzen aus der Nutzereingabe entfernen, damit kein Schadcode in die Anwendung injiziert werden kann und die Sicherheit der Anwendung gesteigert wird.",292,,Umgesetzt,A,1,H-1
3.1 Funktionale Anforderungen,126,HARMONY,ESFA,Benutzeranforderung,Anforderungsgruppen,Anforderung speichern,Anwender,Gruppen,Anforderung zuweisen,"Falls ein Anwender eine Anforderung einer Gruppe zuweist, wird das System HARMONY dem Anwender ermöglichen, die Information Anforderungsschlüssel hinzuzufügen, um eine klare Identifikation der Anforderung innerhalb der Gruppe zu gewährleisten.",127,"Aufgeteilt, siehe Trace",Fertig zur Umsetzung,Z,,B-2-4
3.1 Funktionale Anforderungen,127,HARMONY,ESFA,Benutzeranforderung,Anforderungsgruppen,Anforderung speichern,Anwender,Gruppen,Anforderung zuweisen,"Falls ein Anwender eine Anforderung einer Gruppe zuweist, wird das System HARMONY dem Anwender ermöglichen, die Information Kurzbezeichnung hinzuzufügen, um eine klare Identifikation und Beschreibung der Anforderung innerhalb der Gruppe zu gewährleisten.",126,"Achtung, neu und zwischengeschoben!",Fertig zur Umsetzung,Z,,B-2-15
3.1 Funktionale Anforderungen,401,HARMONY,ESFA,Benutzeranforderung,Anforderungsgruppen,Anforderung speichern,Anwender,Gruppen,Anforderungsschlüssel bearbeiten,"Falls eine Anforderung einer Gruppe zugewiesen ist, muss das System HARMONY dem Anwender ermöglichen, den Anforderungsschlüssel zu bearbeiten.",,,Umgesetzt,A,1,B-2-16
3.1 Funktionale Anforderungen,402,HARMONY,ESFA,Benutzeranforderung,Anforderungsgruppen,Anforderung speichern,Anwender,Gruppen,Kurzbeschreibung bearbeiten,"Falls eine Anforderung einer Gruppe zugewiesen ist, muss das System HARMONY dem Anwender ermöglichen, die Kurzbeschreibung zu bearbeiten.",,,Umgesetzt,A,1,B-2-17
3.1 Funktionale Anforderungen,120,HARMONY,ESFA,Benutzeranforderung,Anforderungsgruppen,Anforderungen gruppieren,Anwender,Gruppen,Erstellen,"Das System HARMONY wird dem Anwender ermöglichen, eine neue Gruppe mit Namen und optionaler Beschreibung anzulegen, um zusammenhängende Anforderungen besser organisieren zu können.",,"""wird""",Fertig zur Umsetzung,Z,,B-2-1
3.1 Funktionale Anforderungen,121,HARMONY,ESFA,Benutzeranforderung,Anforderungsgruppen,Anforderungen gruppieren,Anwender,Gruppen,Gruppe anzeigen,"Falls eine Gruppe existiert, wird das System HARMONY dem Anwender ermöglichen, die Gruppe samt zugehöriger Anforderungen anzuzeigen, um einen schnellen Überblick über den Inhalt der Gruppe zu erhalten.",,,Fertig zur Umsetzung,Z,,B-2-2
3.1 Funktionale Anforderungen,122,HARMONY,ESFA,Benutzeranforderung,Anforderungsgruppen,Anforderungen gruppieren,Anwender,Gruppen,Gruppeninhalt anzeigen,"Falls der Inhalt einer Gruppe angezeigt wird, wird das System HARMONY dem Anwender ermöglichen, den Anforderungsschlüssel, eine Kurzbezeichnung und die Anforderung zu sehen, um eine schnelle und klare Übersicht über die Anforderungen in der Gruppe zu erhalten.","401, 402",,Fertig zur Umsetzung,Z,,B-2-3
3.1 Funktionale Anforderungen,128,HARMONY,ESFA,Benutzeranforderung,Anforderungsgruppen,Anforderungen gruppieren,Anwender,Gruppen,Gruppen in Projekten organisieren,"Das System HARMONY wird dem Anwender ermöglichen, mehrere Gruppen in Form von Projekten zu organisieren, um eine strukturierte und themenbezogene Anforderungsverwaltung zu ermöglichen.",,,Fertig zur Umsetzung,Z,,B-2-5
3.1 Funktionale Anforderungen,130,HARMONY,ESFA,Benutzeranforderung,Anforderungsgruppen,Anforderungen gruppieren,Anwender,Gruppen,Gruppe teilen,"Das System HARMONY wird einem Anwender ermöglichen, Gruppen und deren Inhalt organisationsweit zu teilen.",,"Angepasste Modalität: ""wird"" aufgrund des Umfangs keine notwendige Anforderung mehr.",Fertig zur Umsetzung,Z,,B-2-7
3.1 Funktionale Anforderungen,131,HARMONY,ESFA,Benutzeranforderung,Anforderungsgruppen,Anforderungen gruppieren,Anwender,Gruppen,Gruppe geteilt,"Falls eine Gruppe mit einem Anwender geteilt wurde, wird das System HARMONY dem Anwender ermöglichen, die Anforderungen der Gruppe zu bearbeiten, damit der Anwender die Anforderungen erfassen, bearbeiten, prüfen und löschen kann.",,,Fertig zur Umsetzung,Z,,B-2-8
3.1 Funktionale Anforderungen,132,HARMONY,ESFA,Benutzeranforderung,Anforderungsgruppen,Anforderungen gruppieren,Anwender,Gruppen,Gruppe bearbeiten,"Das System HARMONY wird einem Anwender ermöglichen, eine bestehende Gruppe mit Namen und optionaler Beschreibung zu bearbeiten.",,,Fertig zur Umsetzung,Z,,B-2-9
3.1 Funktionale Anforderungen,133,HARMONY,ESFA,Benutzeranforderung,Anforderungsgruppen,Anforderungen gruppieren,Anwender,Gruppen,Gruppe löschen,"Falls ein Anwender eine Gruppe selbst angelegt hat, wird das System HARMONY dem Anwender ermöglichen, die Gruppe und alle darin befindlichen Anforderungen zu löschen, um nicht mehr benötigte Organisationsstrukturen und zugehörige Inhalte zu entfernen.",,,Fertig zur Umsetzung,Z,,B-2-10
3.1 Funktionale Anforderungen,134,HARMONY,ESFA,Selbständige Systemaktivität,Anforderungsgruppen,Anforderungen gruppieren,Anwender,Gruppen,Gruppe löschen Warnungsdialog,"Falls ein Anwender versucht, eine Gruppe zu löschen, wird das System HARMONY selbständig einen Warnungsdialog anzeigen, um unbeabsichtigtes Löschen zu verhindern.",,"Dialog-Text:

Möchten Sie die Gruppe ""[Name]"" löschen?

Sind Sie sich sicher, dass Sie die Gruppe ""[Name]"" und alle darin befindlichen Anforderungen löschen möchten?",Fertig zur Umsetzung,Z,,B-2-11
3.1 Funktionale Anforderungen,135,HARMONY,ESFA,Selbständige Systemaktivität,Anforderungsgruppen,Anforderungen gruppieren,Anwender,Gruppen,Gruppe löschen Warnungsdialog bestätigt,"Falls im Warnungsdialog ""Löschen"" ausgewählt wird, wird das System HARMONY selbständig die Gruppe und alle der Gruppe zugewiesenen Anforderungen löschen, um sicherzustellen, dass keine veralteten oder nicht mehr benötigten Daten gespeichert bleiben.",,,Fertig zur Umsetzung,Z,,B-2-12
3.1 Funktionale Anforderungen,403,HARMONY,ESFA,Benutzeranforderung,Anforderungsgruppen,Anforderungen gruppieren,Anwender,Gruppen,Nach Anforderungsschlüssel suchen,"Das System HARMONY wird es dem Anwender ermöglichen, innerhalb einer Gruppe nach Anforderungen anhand des Anforderungsschlüssels zu suchen.",,,Fertig zur Umsetzung,Z,,B-2-18
3.1 Funktionale Anforderungen,404,HARMONY,ESFA,Benutzeranforderung,Anforderungsgruppen,Anforderungen gruppieren,Anwender,Gruppen,Nach Kurzbeschreibung suchen,"Das System HARMONY wird es dem Anwender ermöglichen, innerhalb einer Gruppe nach Anforderungen anhand der Kurzbeschreibung zu suchen.",,,Fertig zur Umsetzung,Z,,B-2-19
3.1 Funktionale Anforderungen,220,HARMONY,ESFA,Benutzeranforderung,Anforderungsgruppen,Anforderungsstatus,Anwender,Gruppen,Anforderungsstatus,"Das System HARMONY wird dem Anwender ermöglichen, für Anforderungen einen Status wie z.B. ""Neu erfasst"", ""In Prüfung"", ""Verworfen"" oder ""Abgenommen"" zu speichern, um Anforderungen über den Projektverlauf hinweg zuverlässig verwalten zu können.",,Aufgeteilt aus B-2-6,Fertig zur Umsetzung,Z,,B-2-13
3.1 Funktionale Anforderungen,221,HARMONY,ESFA,Benutzeranforderung,Anforderungsgruppen,Anforderungsstatus,Anwender,Gruppen,Anforderungsstatus,"Das System HARMONY wird dem Anwender ermöglichen, den Status von Anforderungen zu verändern, um Anforderungen über den Projektverlauf hinweg zuverlässig verwalten zu können.",,,Fertig zur Umsetzung,Z,,B-2-14
3.1 Funktionale Anforderungen,99,HARMONY,ESFA,Benutzeranforderung,Anwenderverwaltung,Anwender anmelden,Anwender,Benutzer verwalten,Registrieren,"Das System HARMONY muss einem Anwender ermöglichen, sich über einen Diensteanbieter (z.B. GitHub, Microsoft, Google, etc. via OAuth 2.0) mit einer E-Mail-Adresse, einem Vor- und Nachnamen zu registrieren.",,,Umgesetzt,A,1,B-1-16
3.1 Funktionale Anforderungen,100,HARMONY,ESFA,Benutzeranforderung,Anwenderverwaltung,Anwender anmelden,Anwender,Benutzer verwalten,Anmelden,"Falls ein anonymer Benutzer einen Anwenderaccount hat, muss das System HARMONY dem anonymen Benutzer ermöglichen, sich über einen Diensteanbieter anzumelden.",99,,Umgesetzt,A,1,B-1-17
3.1 Funktionale Anforderungen,95,HARMONY,ESFA,Selbständige Systemaktivität,Anwenderverwaltung,HARMONY administrieren,Anwender,Benutzer verwalten,E-Mail existiert nicht,"Falls die E-Mail-Adresse des eingeladenen anonymen Anwenders im System HARMONY nicht existiert, wird das System selbständig den Versand einer E-Mail verhindern.",94,"Angepasste Modalität: ""wird"" aufgrund des Umfangs keine notwendige Anforderung mehr.",Fertig zur Umsetzung,Z,,B-1-12
3.1 Funktionale Anforderungen,96,HARMONY,ESFA,Selbständige Systemaktivität,Anwenderverwaltung,HARMONY administrieren,Anwender,Benutzer verwalten,E-Mail existiert,"Falls die E-Mail-Adresse im System HARMONY existiert, wird das System selbständig einen Einladungslink an die entsprechende E-Mail-Adresse verschicken.",94,"Angepasste Modalität: ""wird"" aufgrund des Umfangs keine notwendige Anforderung mehr.",Fertig zur Umsetzung,Z,,B-1-13
3.1 Funktionale Anforderungen,87,HARMONY,ESFA,Benutzeranforderung,Anwenderverwaltung,Metadaten,Anwender,Benutzer verwalten,Metadaten anzeigen,"Das System HARMONY wird dem Anwender ermöglichen, die Metadaten der Organisation anzuzeigen.",,"Angepasste Modalität: ""wird"" aufgrund des Umfangs keine notwendige Anforderung mehr.",Fertig zur Umsetzung,Z,,B-1-4
3.1 Funktionale Anforderungen,85,HARMONY,ESFA,Benutzeranforderung,Anwenderverwaltung,Organisation verwalten,Anwender,Benutzer verwalten,Organisation anlegen,"Das System HARMONY wird einem Anwender ermöglichen, eine Organisation mit den Pflichtangaben im System anzulegen.",89,"Angepasste Modalität: ""wird"" aufgrund des Umfangs keine notwendige Anforderung mehr.",Fertig zur Umsetzung,Z,,B-1-2
3.1 Funktionale Anforderungen,86,HARMONY,ESFA,Benutzeranforderung,Anwenderverwaltung,Organisation verwalten,Anwender,Benutzer verwalten,Organisation Übersicht,"Das System HARMONY wird dem Anwender ermöglichen, eine Übersicht der Organisationen, in denen er sich befindet, mit Namen und Beschreibungen, anzuzeigen.",,"Angepasste Modalität: ""wird"" aufgrund des Umfangs keine notwendige Anforderung mehr.",Fertig zur Umsetzung,Z,,B-1-3
3.1 Funktionale Anforderungen,88,HARMONY,ESFA,Benutzeranforderung,Anwenderverwaltung,Organisation verwalten,Anwender,Benutzer verwalten,Pflichtangaben anzeigen,"Das System HARMONY wird dem Anwender ermöglichen, die Pflichtangaben der Organisation, wie den Namen, die Beschreibung und die Administratoren der Organisation, anzuzeigen.",,"Angepasste Modalität: ""wird"" aufgrund des Umfangs keine notwendige Anforderung mehr.",Fertig zur Umsetzung,Z,,B-1-5
3.1 Funktionale Anforderungen,93,HARMONY,ESFA,Benutzeranforderung,Anwenderverwaltung,Organisation verwalten,Anwender,Benutzer verwalten,Organisation beitreten,"Falls ein Anwender einen gültigen Einladungslink für eine Organisation erhält, wird das System HARMONY dem Anwender ermöglichen, durch das Betätigen des Einladungslinks der Organisation beizutreten.",,"Angepasste Modalität: ""wird"" aufgrund des Umfangs keine notwendige Anforderung mehr.",Fertig zur Umsetzung,Z,,B-1-10
3.1 Funktionale Anforderungen,89,HARMONY,ESFA,Benutzeranforderung,Anwenderverwaltung,Organisation verwalten,Organisationsadministrator,Benutzer verwalten,Pflichtangaben bearbeiten,"Das System HARMONY wird dem Organisationsadministrator ermöglichen, die Pflichtangaben einer Organisation, wie den Namen, die Beschreibung und die Administratoren der Organisation, zu bearbeiten.",,"Angepasste Modalität: ""wird"" aufgrund des Umfangs keine notwendige Anforderung mehr.",Fertig zur Umsetzung,Z,,B-1-6
3.1 Funktionale Anforderungen,90,HARMONY,ESFA,Benutzeranforderung,Anwenderverwaltung,Organisation verwalten,Organisationsadministrator,Benutzer verwalten,Administratoren bestimmen,"Das System HARMONY wird den Administratoren einer Organisation ermöglichen, einem Mitglied der Organisation die Rolle Organisationsadministrator zuzuordnen.",216,"Angepasste Modalität: ""wird"" aufgrund des Umfangs keine notwendige Anforderung mehr.",Fertig zur Umsetzung,Z,,B-1-7
3.1 Funktionale Anforderungen,91,HARMONY,ESFA,Benutzeranforderung,Anwenderverwaltung,Organisation verwalten,Organisationsadministrator,Benutzer verwalten,Administratoren entfernen,"Das System HARMONY wird einem Organisationsadministrator ermöglichen, einen Administrator der Organisation zu entfernen.",216,"Angepasste Modalität: ""wird"" aufgrund des Umfangs keine notwendige Anforderung mehr.",Fertig zur Umsetzung,Z,,B-1-8
3.1 Funktionale Anforderungen,92,HARMONY,ESFA,Benutzeranforderung,Anwenderverwaltung,Organisation verwalten,Organisationsadministrator,Benutzer verwalten,Mitglieder einladen,"Das System HARMONY wird einem Organisationsadministrator ermöglichen, einen Anwender per E-Mail zu einer Organisation einzuladen.",,"Angepasste Modalität: ""wird"" aufgrund des Umfangs keine notwendige Anforderung mehr.",Fertig zur Umsetzung,Z,,B-1-9
3.1 Funktionale Anforderungen,94,HARMONY,ESFA,Selbständige Systemaktivität,Anwenderverwaltung,Organisation verwalten,Organisationsadministrator,Benutzer verwalten,Mitglied einladen E-Mail prüfen,"Falls ein Organisationsadministrator versucht, einen Anwender per E-Mail zu einer Organisation einzuladen, wird das System HARMONY selbständig prüfen, ob die eingegebene E-Mail-Adresse im System existiert.",,"Angepasste Modalität: ""wird"" aufgrund des Umfangs keine notwendige Anforderung mehr.",Fertig zur Umsetzung,Z,,B-1-11
3.1 Funktionale Anforderungen,347,HARMONY,ESFA,Benutzeranforderung,Benutzereinstellungen,Barrierefreiheit,Anwender,Benutzereinstellungen,Sprache Deutsch,"Das System HARMONY sollte dem Anwender ermöglichen, die Anwendung in deutscher Sprache anzuzeigen, damit die Anwendung von deutschsprachigen Anwendern verwendet werden kann.",,,Umgesetzt,A,1,B-1-18
3.1 Funktionale Anforderungen,348,HARMONY,ESFA,Benutzeranforderung,Benutzereinstellungen,Barrierefreiheit,Anwender,Benutzereinstellungen,Sprache Englisch,"Das System HARMONY sollte dem Anwender ermöglichen, die Anwendung in englischer Sprache anzuzeigen, damit die Anwendung auch von nicht-deutschsprachigen Anwendern verwendet werden kann.",,,Umgesetzt,A,1,B-1-19
3.1 Funktionale Anforderungen,223,HARMONY,ESFA,Benutzeranforderung,Schablonenanwendung,Anforderung speichern,Anwender,Schablonen anwenden,Tags,"Falls der Anwender eine Anforderung abspeichert, wird das System HARMONY dem Anwender ermöglichen, der Anforderung beliebig viele Tags hinzuzufügen.",,,Fertig zur Umsetzung,Z,,A-3-10
3.1 Funktionale Anforderungen,225,HARMONY,ESFA,Benutzeranforderung,Schablonenanwendung,Anforderung speichern,Anwender,Schablonen anwenden,Tags hinzufügen,"Falls eine Anforderung gespeichert wurde, wird das System HARMONY dem Anwender ermöglichen, der Anforderung neue Tags hinzuzufügen.",,,Fertig zur Umsetzung,Z,,A-3-11
3.1 Funktionale Anforderungen,226,HARMONY,ESFA,Benutzeranforderung,Schablonenanwendung,Anforderung speichern,Anwender,Schablonen anwenden,Tags entfernen,"Falls an einer Anforderung Tags gespeichert wurden, wird das System HARMONY dem Anwender ermöglichen, Tags von der Anforderung zu entfernen.",,,Fertig zur Umsetzung,Z,,A-3-12
3.1 Funktionale Anforderungen,29,HARMONY,ESFA,Benutzeranforderung,Schablonensatzverwaltung,Metadaten,Schablonenverwalter,Schablonensätze verwalten,Metadaten anzeigen,"Das System HARMONY muss dem Schablonenverwalter ermöglichen, die Metadaten eines Schablonensatzes anzuzeigen.",106,,Umgesetzt,A,1,A-1-22
3.1 Funktionale Anforderungen,17,HARMONY,ESFA,Benutzeranforderung,Schablonensatzverwaltung,Schablonensatz anzeigen,Schablonenverwalter,Schablonensätze verwalten,Übersicht,"Das System HARMONY muss dem Schablonenverwalter ermöglichen, eine Übersicht über seine Schablonensätze anzuzeigen, die Namen, Versionsnummer, Erstellungsdatum und Ersteller für die Schablonensätze enthält, damit ein schneller Überblick über alle vorhandenen Schablonensätze möglich ist.",,,Umgesetzt,A,1,A-1-10
3.1 Funktionale Anforderungen,18,HARMONY,ESFA,Benutzeranforderung,Schablonensatzverwaltung,Schablonensatz anzeigen,Schablonenverwalter,Schablonensätze verwalten,Öffnen,"Das System HARMONY muss dem Schablonenverwalter ermöglichen, aus den Schablonensätzen einen Schablonensatz auszuwählen und diesen zur Ansicht zu öffnen.",,,Umgesetzt,A,1,A-1-11
3.1 Funktionale Anforderungen,19,HARMONY,ESFA,Benutzeranforderung,Schablonensatzverwaltung,Schablonensatz anzeigen,Schablonenverwalter,Schablonensätze verwalten,Suchen,"Das System HARMONY wird es dem Schablonenverwalter ermöglichen, nach Schablonensätzen anhand des Namens zu suchen.",,,Fertig zur Umsetzung,Z,,A-1-12
3.1 Funktionale Anforderungen,27,HARMONY,ESFA,Benutzeranforderung,Schablonensatzverwaltung,Schablonensatz anzeigen,Schablonenverwalter,Schablonensätze verwalten,Pflichtangaben anzeigen,"Das System HARMONY muss dem Schablonenverwalter ermöglichen, die Pflichtangaben eines Schablonensatzes anzuzeigen.",104,,Umgesetzt,A,1,A-1-20
3.1 Funktionale Anforderungen,28,HARMONY,ESFA,Benutzeranforderung,Schablonensatzverwaltung,Schablonensatz anzeigen,Schablonenverwalter,Schablonensätze verwalten,Optionale Angaben anzeigen,"Das System HARMONY muss dem Schablonenverwalter ermöglichen, optionale Angaben eines Schablonensatzes anzuzeigen.",105,,Umgesetzt,A,1,A-1-21
3.1 Funktionale Anforderungen,38,HARMONY,ESFA,Benutzeranforderung,Schablonensatzverwaltung,Schablonensatz anzeigen,Schablonenverwalter,Schablonensätze verwalten,Organisationsweiter Zugriff,"Falls einem Schablonenverwalter ein Schablonensatz organisationsweit geteilt wurde, wird das System HARMONY dem Schablonenverwalter ermöglichen, diesen Schablonensatz anzusehen.",,"Angepasste Modalität: ""wird"" aufgrund des Umfangs keine notwendige Anforderung mehr.",Fertig zur Umsetzung,Z,,A-1-31
3.1 Funktionale Anforderungen,43,HARMONY,ESFA,Benutzeranforderung,Schablonensatzverwaltung,Schablonensatz anzeigen,Schablonenverwalter,Schablonensätze verwalten,Eigener Zugriff,"Falls ein Schablonenverwalter einen Schablonensatz selbst angelegt hat, muss das System HARMONY dem Schablonenverwalter ermöglichen, diesen Schablonensatz anzusehen.",,,Umgesetzt,A,1,A-1-36
3.1 Funktionale Anforderungen,24,HARMONY,ESFA,Benutzeranforderung,Schablonensatzverwaltung,Schablonensatz archivieren,Schablonenverwalter,Schablonensätze verwalten,Archivieren,"Das System HARMONY wird dem Schablonenverwalter ermöglichen, einen Schablonensatz zu archivieren, damit alle Schablonen innerhalb dieses Schablonensatzes automatisch archiviert werden und somit nicht mehr zur Auswahl stehen.",,"""wird""",Fertig zur Umsetzung,Z,,A-1-17
3.1 Funktionale Anforderungen,25,HARMONY,ESFA,Selbständige Systemaktivität,Schablonensatzverwaltung,Schablonensatz archivieren,Schablonenverwalter,Schablonensätze verwalten,Archivieren ,"Falls ein Schablonensatz archiviert wurde, wird das System HARMONY selbständig alle Schablonen innerhalb dieses Schablonensatzes archivieren, damit sie nicht mehr zur Auswahl stehen.",,"""wird""",Fertig zur Umsetzung,Z,,A-1-18
3.1 Funktionale Anforderungen,26,HARMONY,ESFA,Selbständige Systemaktivität,Schablonensatzverwaltung,Schablonensatz archivieren,Schablonenverwalter,Schablonensätze verwalten,Archiviert anzeigen,"Falls alle Schablonen innerhalb eines Schablonensatzes archiviert sind, wird das System HARMONY selbständig den entsprechenden Schablonensatz als ""archiviert"" anzeigen, damit die Schablonenverwalter den Status des Schablonensatzes erkennen können.",,"Das Anzeigen eines Schablonensatzes als archiviert weist nur darauf hin, dass alle in ihm enthaltenen Schablonen archiviert sind. Ist ein Schablonensatz archiviert, kann er nicht bearbeitet werden (A-1-5).",Fertig zur Umsetzung,Z,,A-1-19
3.1 Funktionale Anforderungen,35,HARMONY,ESFA,Benutzeranforderung,Schablonensatzverwaltung,Schablonensatz archivieren,Schablonenverwalter,Schablonensätze verwalten,Organisationsweiter Zugriff,"Falls einem Schablonenverwalter ein Schablonensatz organisationsweit geteilt wurde, wird das System HARMONY dem Schablonenverwalter ermöglichen, diesen Schablonensatz zu archivieren.",24,"Angepasste Modalität: ""wird"" aufgrund des Umfangs keine notwendige Anforderung mehr.",Fertig zur Umsetzung,Z,,A-1-28
3.1 Funktionale Anforderungen,40,HARMONY,ESFA,Benutzeranforderung,Schablonensatzverwaltung,Schablonensatz archivieren,Schablonenverwalter,Schablonensätze verwalten,Eigener Zugriff,"Falls ein Schablonenverwalter einen Schablonensatz selbst angelegt hat, wird das System HARMONY dem Schablonenverwalter ermöglichen, diesen Schablonensatz zu archivieren.",24,,Fertig zur Umsetzung,Z,,A-1-33
3.1 Funktionale Anforderungen,12,HARMONY,ESFA,Benutzeranforderung,Schablonensatzverwaltung,Schablonensatz bearbeiten,Schablonenverwalter,Schablonensätze verwalten,Bearbeiten,"Falls ein Schablonenverwalter einen Schablonensatz selbst angelegt hat, muss das System HARMONY dem Schablonenverwalter ermöglichen, den Schablonensatz zu bearbeiten, um den Schablonensatz aktuell zu halten.",,Neue Anforderung hier und Anpassung von A-1-6 und A-1-7 für mehr Klarheit,Umgesetzt,A,1,A-1-39
3.1 Funktionale Anforderungen,15,HARMONY,ESFA,Benutzeranforderung,Schablonensatzverwaltung,Schablonensatz bearbeiten,Schablonenverwalter,Schablonensätze verwalten,Bearbeiten,"Das System HARMONY muss dem Schablonenverwalter ermöglichen, einen bestehenden Schablonensatz mit Hilfe einer Eingabemaske zu bearbeiten, damit Änderungen an den Schablonensatzinformationen vorgenommen werden.","26, 13, 14",,Umgesetzt,A,1,A-1-8
3.1 Funktionale Anforderungen,20,HARMONY,ESFA,Benutzeranforderung,Schablonensatzverwaltung,Schablonensatz bearbeiten,Schablonenverwalter,Schablonensätze verwalten,Teilen,"Das System HARMONY wird dem Schablonenverwalter ermöglichen, Schablonensätze organisationsweit zu teilen, damit andere Schablonenverwalter in einer Organisation Zugriff auf die darin enthaltenen Schablonen haben.",,"Angepasste Modalität: ""wird"" aufgrund des Umfangs keine notwendige Anforderung mehr.",Fertig zur Umsetzung,Z,,A-1-13
3.1 Funktionale Anforderungen,34,HARMONY,ESFA,Benutzeranforderung,Schablonensatzverwaltung,Schablonensatz bearbeiten,Schablonenverwalter,Schablonensätze verwalten,Organisationsweiter Zugriff,"Falls einem Schablonenverwalter ein Schablonensatz organisationsweit geteilt wurde, wird das System HARMONY dem Schablonenverwalter ermöglichen, diesen Schablonensatz zu bearbeiten.",15,"Angepasste Modalität: ""wird"" aufgrund des Umfangs keine notwendige Anforderung mehr.",Fertig zur Umsetzung,Z,,A-1-27
